"","online_order","reservations","ratings","votes","two_meal_cost","city","phone_count","favorite_count","menu_listed","grouped_cuisine_Asian","grouped_cuisine_Drinks","grouped_cuisine_European","grouped_cuisine_Western","grouped_cuisine_Vegetarian","grouped_cuisine_Other","grouped_cuisine_Eastern_Indian","grouped_cuisine_Middle_East","grouped_cuisine_North_Indian","grouped_cuisine_Souhtern_Indian","grouped_cuisine_Western_Indian","restaurant_type_Cafe_Tea","restaurant_type_Dessert_Parlor","restaurant_type_Fine_Dining","restaurant_type_Quick_Bites","restaurant_type_Bar","restaurant_type_Delivery","food_list_type_Unkown","food_list_type_Sheet_Shop","food_list_type_Takeaway","food_list_type_Bars"
"40",1,0,3.2,9,200,"BTM",2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"41",0,0,3.2,4,300,"Rajajinagar",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"42",0,0,3.2,4,150,"Whitefield",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"43",1,0,2.5,544,400,"Whitefield",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"44",1,0,2.7,82,400,"Malleshwaram",2,6,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"45",1,0,2.7,194,400,"Kammanahalli",2,7,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"46",1,0,2.7,249,400,"Koramangala 4th Block",2,6,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"47",1,0,2.7,249,400,"Koramangala 5th Block",2,6,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"48",1,0,2.7,249,400,"Koramangala 6th Block",2,6,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"49",1,0,2.7,249,400,"Koramangala 7th Block",2,6,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"50",1,0,2.7,426,400,"JP Nagar",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"51",1,0,2.7,596,400,"Brookefield",2,7,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"52",1,0,2.7,602,400,"Marathahalli",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"53",1,0,3,564,400,"Indiranagar",2,7,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"54",1,0,3,566,400,"Frazer Town",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"55",1,0,3,570,400,"Old Airport Road",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"56",1,0,3.1,352,400,"Electronic City",2,7,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
"57",1,0,2.7,97,400,"Basavanagudi",2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
